InvoiceID,InvoiceNumber,CustomerName,Dates,EmployeeName,Title,GenreName,RegionName,Quantity,Price,Total
1,136438,Silver Screen Video,1/10/2012,"Lee,Frank",Lawrence of Arabia,Biography,South,15,8.18,122.76
1291,136889,Silver Screen Video,1/11/2012,"Bradshaw,John",Lawrence of Arabia,Biography,South,7,7.27,50.92
1563,136983,Silver Screen Video,1/12/2012,"Goodman,Paul",Lawrence of Arabia,Biography,North,11,6.49,71.44
1701,137032,Classic Films,1/13/2012,"Diamond,Elizabeth",Lawrence of Arabia,Biography,Middle,18,6.24,112.23
2049,137150,Classic Films,1/14/2012,"Sagan,Jessica",Lawrence of Arabia,Biography,Middle,15,6.11,91.58
1712,137034,Classic Films,1/15/2012,"Davis,Charles",Lawrence of Arabia,Biography,Middle,15,6.49,97.42
1678,137022,Classic Films,1/16/2012,"Carrey,Julia",Lawrence of Arabia,Biography,North,16,8.44,135.1
973,136779,Classic Films,1/17/2012,"Hicks,Michael",Lawrence of Arabia,Biography,North,19,6.62,125.87
606,136642,Box Office Supplies,1/18/2012,"Simpson,Meryl",Lawrence of Arabia,Biography,South,3,6.11,18.32
218,136513,Box Office Supplies,1/19/2012,"Simpson,Howard",Lawrence of Arabia,Biography,North,10,7.66,76.64
135,136487,Soft Focus Video Rental,1/20/2012,"Lee,Frank",Lawrence of Arabia,Biography,South,14,8.05,112.75
1960,137116,Soft Focus Video Rental,1/21/2012,"Anderson,Jane",Lawrence of Arabia,Biography,South,11,8.18,90.02
103,136475,Soft Focus Video Rental,1/22/2012,"Hawking,Alfred",Lawrence of Arabia,Biography,North,13,7.53,97.94
890,136746,Soft Focus Video Rental,1/23/2012,"Goodman,Paul",Lawrence of Arabia,Biography,North,21,7.27,152.76
122,136481,Soft Focus Video Rental,1/24/2012,"Carrey,Julia",Lawrence of Arabia,Biography,North,10,7.53,75.34
508,136612,Soft Focus Video Rental,1/25/2012,"Armstrong,Dan",Lawrence of Arabia,Biography,North,16,7.79,124.7
1442,136943,Lights-Camera-Action Ltd,1/26/2012,"Bell,Stephen",Lawrence of Arabia,Biography,South,11,7.27,80.02
1681,137023,Creative Films,1/27/2012,"Spears,Julie",Lawrence of Arabia,Biography,South,6,8.31,49.88
1370,136919,Creative Films,1/28/2012,"West,Chuck",Lawrence of Arabia,Biography,Middle,15,5.85,87.68
1155,136843,Video Flicks International,1/29/2012,"Silverstone,Gloria",Lawrence of Arabia,Biography,Middle,17,6.24,106
695,136675,Video Flicks International,1/30/2012,"Armstrong,Dan",Lawrence of Arabia,Biography,North,10,8.18,81.84
2067,137156,Video Flicks International,1/31/2012,"Armstrong,Dan",Lawrence of Arabia,Biography,North,3,7.92,23.77
1722,137037,Cinefocus DVD,2/1/2012,"Ashe,Lucille",Lawrence of Arabia,Biography,Middle,12,5.98,71.7
